Nom,Sous-type,Commune,Code postal,Département,Région,Latitude,Longitude,Site internet
RESTAURANT CROCODILE,Restauration,Villeneuve-d'Ascq,59650,Nord,Hauts-de-France,50.6431946,3.1459392,http://www.restaurantscrocodile.fr/restaurants/restaurant-crocodile-villeneuve-dascq
ANAGRAM,"Restauration,Hébergement",Arras,62000,Pas-de-Calais,Hauts-de-France,50.292236,2.77945,http://anagram-resto.fr/
LE VIDOCQ,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.291002,2.777535,http://www.levidocq.fr/
Sazanka,Restauration,Marcq-en-Barœul,59700,Nord,Hauts-de-France,50.6528612,3.0825242,https://sazanka59.com/
L'ENTRE NOUS,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.292702,2.780039,https://www.restaurant-lentrenous.fr/
Le Dragon d'Or,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.2924247,2.782124,
RESTAURANT MERCURE ATRIA,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.287022,2.778833,http://www.mercure.com/
The French House,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.291741,2.7810328,https://www.thefrenchhouse-arras.fr/
LA SIGNATURE,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.290598,2.772754,
HOTEL KYRIAD LILLE NORD - RONCQ restaurant l'ENTR'POTES,"Restauration,Hébergement",Roncq,59223,Nord,Hauts-de-France,50.7536346,3.1381271,https://lille-nord-roncq.kyriad.com/fr-fr/
RESTAURANT LA FAISANDERIE,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.292813,2.780207,http://www.lafaisanderie-arras.com/
La Terrasse de Prémesques,Restauration,Prémesques,59840,Nord,Hauts-de-France,50.6500256,2.9463065,http://www.laterrassedepremesques.com/
LES TROIS FÛTS,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.290634,2.779059,
LE DRAGON D'OR,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.291002,2.777535,http://www.dragondor-arras.com/
Chez Mima,Restauration,Ferrières,60420,Oise,Hauts-de-France,49.58986,2.51623,
Le Pavé de Sars,Restauration,Sars-Poteries,59216,Nord,Hauts-de-France,50.165455,4.026381,http://www.restaurantlepave.fr/
L'Oeuf ou la Poule,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.289694,2.778104,https://www.loeufoulapoule.fr/
MEZZALUNA,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.287724,2.77977,http://mezzalunaarras.com/
LES DEUX FRÈRES CHEZ ZENON,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.291493,2.778931,
RESTAURANT LA TABLE DU TROUBADOUR,Restauration,Arras,62000,Pas-de-Calais,Hauts-de-France,50.287146,2.779756,
Moment'Apart,Hébergement,Lille,59800,Nord,Hauts-de-France,50.6335574,3.0808253,https://www.momentapart.fr/appart-hotel-lille.html
